U,T,docc_metal,nd_metal,F_metal,Z_metal,Zp_metal,eta_metal,W_metal,eps_metal,V_metal,conv_metal,metal_valid,docc_insulator,nd_insulator,F_insulator,Z_insulator,Zp_insulator,eta_insulator,W_insulator,eps_insulator,V_insulator,conv_insulator,ins_valid,deltaF,stable_phase,coexistence
2.6758620689655173,0.02947368421052632,0.2294562763616791,1.0000000000000004,-1.4591314607452064,0.015350453218377807,0.4999999999999998,0.0,0.7415911530950907,0.0,0.24094582502599576,True,True,0.2294169766456016,0.9999999999999996,-1.4590984430025056,0.015487288610999067,0.5000000000000002,0.0,0.7382564804282867,0.0,0.24087542894567124,True,True,-3.301774270081381e-05,metal,True
2.7241379310344827,0.02947368421052632,0.22836755845107867,1.0000000000000044,-1.4811779071454745,0.015350453218377807,0.499999999999998,0.0,0.7415911530950907,0.0,0.24094582502599576,True,True,0.2283136823848168,0.9999999999999998,-1.4811359085118614,0.015531510509608647,0.5000000000000001,0.0,0.7371881788116624,0.0,0.24085278666747834,True,True,-4.199863361309397e-05,metal,True
2.772413793103448,0.02947368421052632,0.2272550036359485,1.0000000000000007,-1.5032869028434006,0.015350453218377807,0.4999999999999996,0.0,0.7415911530950907,0.0,0.24094582502599576,True,True,0.2271859891678079,0.999999999999999,-1.5032369512282453,0.01557460988450704,0.5000000000000003,0.0,0.7361513543277887,0.0,0.24083073673608796,True,True,-4.9951615155308104e-05,metal,True
2.820689655172414,0.02947368421052632,0.226035505467623,1.0000000000000004,-1.5253996802118632,0.015615703091339368,0.4999999999999998,0.0,0.7351667655960016,0.0,0.24080993145464485,True,True,0.2259607034784237,1.0000000000000009,-1.5253501136614618,0.015851188405919446,0.49999999999999944,0.0,0.7295982286839439,0.0,0.24068960013694735,True,True,-4.956655040144753e-05,metal,True
2.8689655172413793,0.02947368421052632,0.22487604716429851,1.0000000000000044,-1.5476297493293882,0.015615703091339368,0.4999999999999977,0.0,0.7351667655960016,0.0,0.24080993145464485,True,True,0.22479885087063345,1.0000000000000002,-1.5475821693738674,0.015851188405919446,0.4999999999999999,0.0,0.7295982286839439,0.0,0.24068960013694735,True,True,-4.757995552084893e-05,metal,True
2.9172413793103447,0.02947368421052632,0.22369633401173156,1.0000000000000002,-1.5699162168938716,0.015615703091339368,0.4999999999999999,0.0,0.7351667655960016,0.0,0.24080993145464485,True,True,0.22361678497597995,1.0000000000000002,-1.5698705959950063,0.015851188405919446,0.4999999999999999,0.0,0.7295982286839439,0.0,0.24068960013694735,True,True,-4.5620898865283976e-05,metal,True
2.9655172413793105,0.02947368421052632,0.22249760143372027,1.0000000000000007,-1.5922571862999815,0.015615703091339368,0.4999999999999996,0.0,0.7351667655960016,0.0,0.24080993145464485,True,True,0.22241574570378278,1.0000000000000009,-1.5922134967322934,0.015851188405919446,0.49999999999999944,0.0,0.7295982286839439,0.0,0.24068960013694735,True,True,-4.3689567688076636e-05,metal,True
3.013793103448276,0.02947368421052632,0.22128110035735,1.000000000000001,-1.6146508282691137,0.015615703091339368,0.4999999999999993,0.0,0.7351667655960016,0.0,0.24080993145464485,True,True,0.2211969881536603,1.0000000000000007,-1.6146090421513066,0.015851188405919446,0.4999999999999996,0.0,0.7295982286839439,0.0,0.24068960013694735,True,True,-4.178611780703001e-05,metal,True
3.0620689655172413,0.02947368421052632,0.22004809149678003,1.0000000000000029,-1.6370953783272033,0.015615703091339368,0.4999999999999985,0.0,0.7351667655960016,0.0,0.24080993145464485,True,True,0.21996177688982138,1.000000000000001,-1.6370554676528621,0.015851188405919446,0.4999999999999993,0.0,0.7295982286839439,0.0,0.24068960013694735,True,True,-3.991067434117035e-05,metal,True
3.110344827586207,0.02947368421052632,0.21879983990527946,1.000000000000005,-1.6595891343884017,0.015615703091339368,0.4999999999999972,0.0,0.7351667655960016,0.0,0.24080993145464485,True,True,0.21871138048676228,1.0000000000000013,-1.6595510710559584,0.015851188405919446,0.49999999999999944,0.0,0.7295982286839439,0.0,0.24068960013694735,True,True,-3.80633324432722e-05,metal,True
3.1586206896551725,0.02947368421052632,0.21744724443568528,0.9999999999999994,-1.6820942809345065,0.015851121356460773,0.5000000000000002,0.0,0.7295997946327664,0.0,0.24068983654489667,True,True,0.21744706637097624,1.0000000000000002,-1.6820942102822687,0.015851188405919446,0.4999999999999998,0.0,0.7295982286839439,0.0,0.24068960013694735,True,True,-7.065223783797592e-08,metal,True
3.206896551724138,0.02947368421052632,0.21616109228815422,0.9999999999999922,-1.704679983478338,0.015874469017666017,0.5000000000000043,0.0,0.7290544121426676,0.0,0.24067790804724648,True,True,0.21614616834119385,1.0000000000000047,-1.7046744974042578,0.015912235620350573,0.4999999999999974,0.0,0.728174748174177,0.0,0.24065853286543423,True,True,-5.48607408012991e-06,metal,True
3.2551724137931037,0.02947368421052632,0.21486465992785042,1.0000000000000007,-1.7273109811337535,0.0158942472034861,0.4999999999999996,0.0,0.7285933488784172,0.0,0.24066790482252653,True,True,0.21485728840344268,1.0000000000000007,-1.7273084665884164,0.015912235620350573,0.4999999999999996,0.0,0.728174748174177,0.0,0.24065853286543423,True,True,-2.5145453370623017e-06,metal,True
3.3034482758620687,0.02947368421052632,0.21356577534323093,1.0000000000000007,-1.7499877564075432,0.0158942472034861,0.4999999999999996,0.0,0.7285933488784172,0.0,0.24066790482252653,True,True,0.21355825707446907,1.0000000000000029,-1.7499853769635567,0.015912235620350573,0.49999999999999833,0.0,0.728174748174177,0.0,0.24065853286543423,True,True,-2.3794439865110206e-06,metal,True
3.3517241379310345,0.02947368421052632,0.21225795211618942,1.0000000000000002,-1.7727060521313918,0.0158942472034861,0.4999999999999998,0.0,0.7285933488784172,0.0,0.24066790482252653,True,True,0.21223409457851933,1.0000000000000004,-1.7726990669455926,0.015951206136539078,0.4999999999999998,0.0,0.7272702988993407,0.0,0.24063871773194895,True,True,-6.985185799113225e-06,metal,True
3.4,0.02947368421052632,0.2109423862976,1.0000000000000002,-1.7954644952631582,0.0158942472034861,0.4999999999999998,0.0,0.7285933488784172,0.0,0.24066790482252653,True,True,0.21091810636331834,1.0000000000000027,-1.7954579171666265,0.015951206136539078,0.49999999999999833,0.0,0.7272702988993407,0.0,0.24063871773194895,True,True,-6.578096531706379e-06,metal,True
2.0,0.03894736842105263,0.22463628292891474,1.0000000000000004,-1.1488249121939327,0.027424069060782773,0.4999999999999998,0.0,0.7286581105248757,0.0,0.2406799080960662,True,True,0.224626615676172,1.0000000000000002,-1.1488145021910172,0.027478421558880226,0.4999999999999999,0.0,0.7279167678491377,0.0,0.24066363743920932,True,True,-1.0410002915461902e-05,metal,True
